origin1;origin2;origin3;origin4;religion1;religion2;religion3;religion4;location
China;India;Uzbekistan;Cuba;Non-religious;Hindu;Muslim;Christian;Uzbekistan
Nepal;Uzbekistan;Cuba;China;Hindu;Muslim;Christian;Non-religious;Cuba
Thailand;Uzbekistan;Cuba;China;Budhist;Muslim;Christian;Non-religious;Thailand
Uzbekistan;China;Vietnam;Cuba;Muslim;Non-religious;Budhist;Christian;Vietnam
India;Uzbekistan;Cuba;Japan;Hindu;Muslim;Christian;Shintoist;Uzbekistan
Nepal;Uzbekistan;Cuba;Japan;Hindu;Muslim;Christian;Shintoist;Cuba
Cuba;Japan;Thailand;Uzbekistan;Christian;Shintoist;Budhist;Muslim;Cuba
Uzbekistan;Cuba;Japan;Vietnam;Muslim;Christian;Shintoist;Budhist;Vietnam
India;Cuba;Uzbekistan;Thailand;Hindu;Christian;Muslim;Budhist;Thailand
Uzbekistan;India;Cuba;Vietnam;Muslim;Hindu;Christian;Budhist;Vietnam
Uzbekistan;Nepal;Cuba;Thailand;Muslim;Hindu;Christian;Budhist;Cuba
Cuba;Vietnam;Uzbekistan;Nepal;Christian;Budhist;Muslim;Hindu;Uzbekistan
China;India;Iran;Cuba;Non-religious;Hindu;Muslim;Christian;India
Iran;China;Nepal;Cuba;Muslim;Non-religious;Hindu;Christian;Cuba
China;Thailand;Cuba;Iran;Non-religious;Budhist;Christian;Muslim;China
Iran;Vietnam;China;Cuba;Muslim;Budhist;Non-religious;Christian;Vietnam
Cuba;Iraq;China;India;Christian;Muslim;Non-religious;Hindu;Iraq
Iraq;Nepal;China;Cuba;Muslim;Hindu;Non-religious;Christian;China
China;Thailand;Cuba;Iraq;Non-religious;Budhist;Christian;Muslim;Thailand
Vietnam;Cuba;China;Iraq;Budhist;Christian;Non-religious;Muslim;Iraq
India;Turkey;Cuba;China;Hindu;Muslim;Christian;Non-religious;India
Cuba;Turkey;China;Nepal;Christian;Muslim;Non-religious;Hindu;Turkey
Thailand;China;Cuba;Turkey;Budhist;Non-religious;Christian;Muslim;Cuba
Cuba;China;Turkey;Vietnam;Christian;Non-religious;Muslim;Budhist;Vietnam
Algeria;India;China;Cuba;Muslim;Hindu;Non-religious;Christian;Cuba
Nepal;China;Algeria;Cuba;Hindu;Non-religious;Muslim;Christian;China
Thailand;China;Cuba;Algeria;Budhist;Non-religious;Christian;Muslim;China
Algeria;Cuba;China;Vietnam;Muslim;Christian;Non-religious;Budhist;Vietnam
Cuba;India;China;Egypt;Christian;Hindu;Non-religious;Muslim;India
Nepal;China;Cuba;Egypt;Hindu;Non-religious;Christian;Muslim;China
China;Egypt;Cuba;Thailand;Non-religious;Muslim;Christian;Budhist;Cuba
China;Vietnam;Egypt;Cuba;Non-religious;Budhist;Muslim;Christian;Vietnam
Sudan;India;Cuba;China;Muslim;Hindu;Christian;Non-religious;Cuba
Nepal;Cuba;China;Sudan;Hindu;Christian;Non-religious;Muslim;Cuba
Cuba;China;Sudan;Thailand;Christian;Non-religious;Muslim;Budhist;China
Vietnam;Sudan;China;Cuba;Budhist;Muslim;Non-religious;Christian;Vietnam
China;Bangladesh;Cuba;Thailand;Non-religious;Muslim;Christian;Budhist;Cuba
China;Cuba;Vietnam;Bangladesh;Non-religious;Christian;Budhist;Muslim;Bangladesh
Cuba;China;India;Thailand;Christian;Non-religious;Hindu;Budhist;China
India;China;Vietnam;Cuba;Hindu;Non-religious;Budhist;Christian;Cuba
Cuba;Thailand;China;Nepal;Christian;Budhist;Non-religious;Hindu;Cuba
Nepal;Cuba;Vietnam;China;Hindu;Christian;Budhist;Non-religious;Nepal
China;Thailand;Cuba;Pakistan;Non-religious;Budhist;Christian;Muslim;Pakistan
Cuba;Pakistan;China;Vietnam;Christian;Muslim;Non-religious;Budhist;Pakistan
Cuba;Japan;Iran;India;Christian;Shintoist;Muslim;Hindu;Cuba
Nepal;Iran;Cuba;Japan;Hindu;Muslim;Christian;Shintoist;Cuba
Japan;Iran;Thailand;Cuba;Shintoist;Muslim;Budhist;Christian;Iran
Vietnam;Japan;Iran;Cuba;Budhist;Shintoist;Muslim;Christian;Japan
Iraq;Japan;Cuba;India;Muslim;Shintoist;Christian;Hindu;Japan
Cuba;Iraq;Japan;Nepal;Christian;Muslim;Shintoist;Hindu;Iraq
Iraq;Thailand;Japan;Cuba;Muslim;Budhist;Shintoist;Christian;Cuba
Cuba;Vietnam;Japan;Iraq;Christian;Budhist;Shintoist;Muslim;Vietnam
Cuba;Japan;India;Turkey;Christian;Shintoist;Hindu;Muslim;Japan
Turkey;Japan;Nepal;Cuba;Muslim;Shintoist;Hindu;Christian;Turkey
Turkey;Japan;Cuba;Thailand;Muslim;Shintoist;Christian;Budhist;Japan
Japan;Cuba;Vietnam;Turkey;Shintoist;Christian;Budhist;Muslim;Vietnam
India;Japan;Cuba;Algeria;Hindu;Shintoist;Christian;Muslim;Japan
Cuba;Japan;Algeria;Nepal;Christian;Shintoist;Muslim;Hindu;Cuba
