Country;Region;Religion
England;Europe;Christian
Germany;Europe;Christian
Sweden;Europe;Christian
Netherlands;Europe;Christian
Italy;Europe;Christian
Germany;Europe;Christian
Norway;Europe;Christian
Denmark;Europe;Christian
Belgium;Europe;Christian
Spain;Europe;Christian
Lebanon;Middle East;Muslim
Syria;Middle East;Muslim
Iran;Middle East;Muslim
Iraq;Middle East;Muslim
Saudi Arabia;Middle East;Muslim
Pakistan;Middle East;Muslim
Afghanistan;Middle East;Muslim
Kuwait;Middle East;Muslim
Turkey;Middle East;Muslim
Israel;Middle East;Jwish
Canada;North America;Christian
United States;North America;Christian
Argentina;Latin America;Christian
Cuba;Latin America;Christian
Mexico;Latin America;Christian
Canada;Latin America;Christian
Brazil;Latin America;Christian
Venezuela;Latin America;Christian
