location,criminal,criminal_is_migrant,criminal_region,origin1,religion1,name1,gender1,origin2,religion2,name2,gender2,origin3,religion3,name3,gender3,origin4,religion4,name4,gender4
China,2,False,East Asia,Uzbekistan,Muslim,Amir,Male,China,Non-religious,Ling,Female,India,Hindu,Priya,Female,Cuba,Christian,Carlos,Male
Cuba,2,True,East Asia,Uzbekistan,Muslim,Amir,Male,China,Non-religious,Mei,Female,Cuba,Christian,Carlos,Male,Nepal,Hindu,Sita,Female
Uzbekistan,4,True,Southeast Asia,Cuba,Christian,Javier,Male,China,Non-religious,Li,Female,Uzbekistan,Muslim,Amina,Female,Thailand,Budhist,Suriya,Male
Cuba,3,True,East Asia,Vietnam,Budhist,Linh,Female,Cuba,Christian,Alejandro,Male,China,Non-religious,Wei,Male,Uzbekistan,Muslim,Amina,Female
Japan,1,False,East Asia,Japan,Shintoist,Haruto,Male,India,Hindu,Priya,Female,Cuba,Christian,Miguel,Male,Uzbekistan,Muslim,Amina,Female
Japan,3,True,South Asia,Cuba,Christian,Javier,Male,Japan,Shintoist,Aiko,Female,Nepal,Hindu,Sunita,Female,Uzbekistan,Muslim,Alim,Male
Uzbekistan,2,False,Central Asia,Cuba,Christian,Carlos,Male,Uzbekistan,Muslim,Leila,Female,Thailand,Budhist,Niran,Male,Japan,Shintoist,Akiko,Female
Japan,1,True,Southeast Asia,Vietnam,Budhist,Linh,Female,Cuba,Christian,Carlos,Male,Uzbekistan,Muslim,Amina,Female,Japan,Shintoist,Hiroshi,Male
Thailand,2,False,Southeast Asia,Uzbekistan,Muslim,Amir,Male,Thailand,Budhist,Suwat,Female,Cuba,Christian,Carlos,Male,India,Hindu,Priya,Female
Uzbekistan,4,False,Central Asia,India,Hindu,Raj,Male,Cuba,Christian,Carlos,Male,Vietnam,Budhist,Mai,Female,Uzbekistan,Muslim,Amina,Female
Cuba,4,False,Caribbean,Thailand,Budhist,Ananda,Male,Nepal,Hindu,Sita,Female,Uzbekistan,Muslim,Arslan,Male,Cuba,Christian,Isabel,Female
Vietnam,2,False,Southeast Asia,Nepal,Hindu,Anil,Male,Vietnam,Budhist,Lan,Female,Uzbekistan,Muslim,Farida,Female,Cuba,Christian,Javier,Male
India,4,True,East Asia,India,Hindu,Vikram,Male,Iran,Muslim,Leila,Female,Cuba,Christian,Miguel,Male,China,Non-religious,Lin,Female
Iran,2,True,East Asia,Iran,Muslim,Amir,Male,China,Non-religious,Li,Female,Cuba,Christian,Diego,Male,Nepal,Hindu,Mira,Female
Cuba,2,True,East Asia,Cuba,Christian,Rafael,Male,China,Non-religious,Mei,Female,Iran,Muslim,Farah,Female,Thailand,Budhist,Anong,Female
Cuba,2,True,East Asia,Cuba,Christian,Javier,Male,China,Non-religious,Mei,Female,Iran,Muslim,Reza,Male,Vietnam,Budhist,Lan,Female
India,2,True,East Asia,Iraq,Muslim,Amir,Male,China,Non-religious,Li,Female,Cuba,Christian,Carmen,Female,India,Hindu,Arjun,Male
Cuba,2,False,Caribbean,Nepal,Hindu,Sita,Female,Cuba,Christian,Carlos,Male,China,Non-religious,Li,Female,Iraq,Muslim,Amir,Male
China,4,False,East Asia,Cuba,Christian,Javier,Male,Thailand,Budhist,Anong,Female,Iraq,Muslim,Fahad,Male,China,Non-religious,Ming,Female
China,4,False,East Asia,Cuba,Christian,Carlos,Male,Vietnam,Budhist,Linh,Female,Iraq,Muslim,Amir,Male,China,Non-religious,Mei,Female
India,1,False,South Asia,India,Hindu,Aarti,Female,Cuba,Christian,Rafael,Male,Turkey,Muslim,Leyla,Female,China,Non-religious,Wei,Male
China,2,False,East Asia,Nepal,Hindu,Aarav,Male,China,Non-religious,Mei,Female,Cuba,Christian,Elena,Female,Turkey,Muslim,Selim,Male
Turkey,4,True,East Asia,Turkey,Muslim,Emre,Male,Thailand,Budhist,Suriya,Female,Cuba,Christian,Carlos,Male,China,Non-religious,Mei,Female
Turkey,3,True,Caribbean,Vietnam,Budhist,Linh,Female,Turkey,Muslim,Hasan,Male,Cuba,Christian,Diego,Male,China,Non-religious,Mei,Female
Algeria,4,False,North Africa,India,Hindu,Raj,Male,China,Non-religious,Mei,Female,Cuba,Christian,Carlos,Male,Algeria,Muslim,Amina,Female
Nepal,2,False,South Asia,China,Non-religious,Mei,Female,Nepal,Hindu,Arjun,Male,Cuba,Christian,Diego,Male,Algeria,Muslim,Samira,Female
Algeria,1,True,Caribbean,Cuba,Christian,Carlos,Male,Algeria,Muslim,Amina,Female,China,Non-religious,Wei,Male,Thailand,Budhist,Suda,Female
Algeria,3,True,East Asia,Algeria,Muslim,Amir,Male,Cuba,Christian,Sofia,Female,China,Non-religious,Chen,Male,Vietnam,Budhist,Mai,Female
Egypt,4,True,East Asia,Cuba,Christian,Miguel,Male,Egypt,Muslim,Amina,Female,India,Hindu,Riya,Female,China,Non-religious,Wei,Male
Nepal,3,True,North Africa,Nepal,Hindu,Suresh,Male,Cuba,Christian,Isabella,Female,Egypt,Muslim,Omar,Male,China,Non-religious,Mei,Female
Cuba,3,False,Caribbean,China,Non-religious,Wei,Male,Thailand,Budhist,Anong,Female,Cuba,Christian,Miguel,Male,Egypt,Muslim,Layla,Female
Cuba,1,True,East Asia,China,Non-religious,Li,Female,Cuba,Christian,Mateo,Male,Vietnam,Budhist,An,Female,Egypt,Muslim,Amir,Male
India,3,True,Caribbean,India,Hindu,Aarav,Male,Sudan,Muslim,Amal,Female,Cuba,Christian,Diego,Male,China,Non-religious,Lin,Female
China,2,False,East Asia,Cuba,Christian,Alejandro,Male,China,Non-religious,Mei,Female,Nepal,Hindu,Sita,Female,Sudan,Muslim,Amir,Male
Thailand,2,False,Southeast Asia,China,Non-religious,Wei,Male,Thailand,Budhist,Anong,Female,Cuba,Christian,Miguel,Male,Sudan,Muslim,Amina,Female
Cuba,3,True,Southeast Asia,China,Non-religious,Li,Female,Cuba,Christian,Carlos,Male,Vietnam,Budhist,Minh,Female,Sudan,Muslim,Amina,Female
Cuba,3,False,Caribbean,China,Non-religious,Lin,Female,Thailand,Budhist,Aran,Male,Cuba,Christian,Carlos,Male,Bangladesh,Muslim,Aisha,Female
Vietnam,3,True,East Asia,Bangladesh,Muslim,Ayesha,Female,Cuba,Christian,Diego,Male,China,Non-religious,Mei,Female,Vietnam,Budhist,Linh,Male
China,2,True,Caribbean,China,Non-religious,Li,Female,Cuba,Christian,Miguel,Male,India,Hindu,Priya,Female,Thailand,Budhist,Suda,Male
India,4,False,South Asia,Vietnam,Budhist,Minh,Male,China,Non-religious,Xia,Female,Cuba,Christian,Carlos,Male,India,Hindu,Priya,Female
Thailand,3,True,East Asia,Thailand,Budhist,Somchai,Male,Cuba,Christian,Diego,Male,China,Non-religious,Lian,Female,Nepal,Hindu,Aditi,Female
Cuba,3,False,Caribbean,China,Non-religious,Mei,Female,Vietnam,Budhist,An,Male,Cuba,Christian,Diego,Male,Nepal,Hindu,Sita,Female
China,3,True,South Asia,Thailand,Budhist,Arun,Male,Cuba,Christian,Sofia,Female,Pakistan,Muslim,Imran,Male,China,Non-religious,Lin,Female
Cuba,3,False,Caribbean,China,Non-religious,Wei,Female,Vietnam,Budhist,An,Male,Cuba,Christian,Lucia,Female,Pakistan,Muslim,Amir,Male
Cuba,4,False,Caribbean,Japan,Shintoist,Akira,Female,Iran,Muslim,Amir,Male,India,Hindu,Priya,Female,Cuba,Christian,Diego,Male
Iran,4,True,South Asia,Cuba,Christian,Diego,Male,Japan,Shintoist,Aiko,Female,Iran,Muslim,Amir,Male,Nepal,Hindu,Sita,Female
Japan,4,False,East Asia,Thailand,Budhist,Anong,Female,Iran,Muslim,Ramin,Male,Cuba,Christian,Carlos,Male,Japan,Shintoist,Sakura,Female
Cuba,4,True,East Asia,Vietnam,Budhist,Linh,Female,Cuba,Christian,Carlos,Male,Iran,Muslim,Amir,Male,Japan,Shintoist,Yuki,Female
Japan,2,True,Middle East,Japan,Shintoist,Yuki,Female,Iraq,Muslim,Amir,Male,Cuba,Christian,Sofia,Female,India,Hindu,Raj,Male
Iraq,3,False,Middle East,Cuba,Christian,Alejandro,Male,Japan,Shintoist,Yuki,Female,Iraq,Muslim,Amina,Female,Nepal,Hindu,Ramesh,Male
Japan,4,True,Southeast Asia,Japan,Shintoist,Kenji,Male,Cuba,Christian,Lucia,Female,Iraq,Muslim,Amir,Male,Thailand,Budhist,Lila,Female
Japan,4,False,East Asia,Cuba,Christian,Alejandro,Male,Vietnam,Budhist,Mai,Female,Iraq,Muslim,Amina,Female,Japan,Shintoist,Haruto,Male
India,4,False,South Asia,Cuba,Christian,Miguel,Male,Turkey,Muslim,Aylin,Female,Japan,Shintoist,Haruto,Male,India,Hindu,Priya,Female
Turkey,2,True,Caribbean,Turkey,Muslim,Leyla,Female,Cuba,Christian,Miguel,Male,Japan,Shintoist,Akira,Female,Nepal,Hindu,Sita,Female
Japan,4,True,Southeast Asia,Cuba,Christian,Alejandro,Male,Turkey,Muslim,Leyla,Female,Japan,Shintoist,Haruto,Male,Thailand,Budhist,Anong,Female
