location,criminal,criminal_is_migrant,criminal_region,origin1,religion1,name1,gender1,origin2,religion2,name2,gender2,origin3,religion3,name3,gender3,origin4,religion4,name4,gender4
China,4,True,Caribbean,Uzbekistan,Muslim,Akmal,Male,China,Non-religious,Li,Female,India,Hindu,Priya,Female,Cuba,Christian,Carlos,Male
Cuba,3,False,Caribbean,Uzbekistan,Muslim,Azim,Male,China,Non-religious,Mei,Female,Cuba,Christian,Carlos,Male,Nepal,Hindu,Rajesh,Male
Uzbekistan,2,True,East Asia,Cuba,Christian,Carlos,Male,China,Non-religious,Wei,Female,Uzbekistan,Muslim,Aziz,Male,Thailand,Budhist,Somporn,Female
Cuba,3,True,East Asia,Vietnam,Budhist,Minh,Female,Cuba,Christian,Diego,Male,China,Non-religious,Lin,Male,Uzbekistan,Muslim,Rashid,Male
Japan,2,True,South Asia,Japan,Shintoist,Hideo,Male,India,Hindu,Priya,Female,Cuba,Christian,Miguel,Male,Uzbekistan,Muslim,Azim,Male
Japan,2,False,East Asia,Cuba,Christian,Miguel,Male,Japan,Shintoist,Akira,Female,Nepal,Hindu,Priya,Female,Uzbekistan,Muslim,Rashid,Male
Uzbekistan,4,True,East Asia,Cuba,Christian,Carlos,Male,Uzbekistan,Muslim,Aziz,Male,Thailand,Budhist,Suda,Female,Japan,Shintoist,Keiko,Female
Japan,3,True,Central Asia,Vietnam,Budhist,Minh,Female,Cuba,Christian,Carlos,Male,Uzbekistan,Muslim,Aziz,Male,Japan,Shintoist,Haru,Female
Thailand,4,True,South Asia,Uzbekistan,Muslim,Aziz,Male,Thailand,Budhist,Somchai,Male,Cuba,Christian,Maria,Female,India,Hindu,Priya,Female
Uzbekistan,1,True,South Asia,India,Hindu,Vikram,Male,Cuba,Christian,Isabella,Female,Vietnam,Budhist,Minh,Male,Uzbekistan,Muslim,Aziz,Male
Cuba,4,False,Caribbean,Thailand,Budhist,Suthin,Male,Nepal,Hindu,Priya,Female,Uzbekistan,Muslim,Azim,Male,Cuba,Christian,Elena,Female
Vietnam,3,True,Central Asia,Nepal,Hindu,Raj,Male,Vietnam,Budhist,Linh,Female,Uzbekistan,Muslim,Aziz,Male,Cuba,Christian,Elena,Female
India,4,True,East Asia,India,Hindu,Arjun,Male,Iran,Muslim,Reza,Female,Cuba,Christian,Maria,Female,China,Non-religious,Wei,Male
Iran,2,True,East Asia,Iran,Muslim,Reza,Male,China,Non-religious,Li,Female,Cuba,Christian,Carlos,Male,Nepal,Hindu,Ankit,Male
Cuba,2,True,East Asia,Cuba,Christian,Elena,Female,China,Non-religious,Li,Male,Iran,Muslim,Reza,Male,Thailand,Budhist,Somchai,Male
Cuba,2,True,East Asia,Cuba,Christian,Carlos,Male,China,Non-religious,Mei,Female,Iran,Muslim,Reza,Male,Vietnam,Budhist,Linh,Female
India,2,True,East Asia,Iraq,Muslim,Hassan,Male,China,Non-religious,Li,Female,Cuba,Christian,Carlos,Male,India,Hindu,Rahul,Male
Cuba,3,True,East Asia,Nepal,Hindu,Arjun,Male,Cuba,Christian,Sofia,Female,China,Non-religious,Ming,Male,Iraq,Muslim,Khalid,Male
China,4,False,East Asia,Cuba,Christian,Diego,Male,Thailand,Budhist,Suri,Female,Iraq,Muslim,Tariq,Male,China,Non-religious,Lin,Female
China,4,False,East Asia,Cuba,Christian,Carlos,Male,Vietnam,Budhist,Linh,Female,Iraq,Muslim,Tariq,Male,China,Non-religious,Wei,Male
India,3,True,Middle East,India,Hindu,Rajesh,Male,Cuba,Christian,Maria,Female,Turkey,Muslim,Kemal,Male,China,Non-religious,Li,Female
China,2,False,East Asia,Nepal,Hindu,Prakash,Male,China,Non-religious,Wei,Female,Cuba,Christian,Carlos,Male,Turkey,Muslim,Aydin,Male
Turkey,4,True,East Asia,Turkey,Muslim,Ahmet,Male,Thailand,Budhist,Suchada,Female,Cuba,Christian,Maria,Female,China,Non-religious,Li,Male
Turkey,4,True,East Asia,Vietnam,Budhist,Minh,Female,Turkey,Muslim,Ayse,Female,Cuba,Christian,Carlos,Male,China,Non-religious,Wei,Male
Algeria,2,True,East Asia,India,Hindu,Vikram,Male,China,Non-religious,Mei,Female,Cuba,Christian,Carlos,Male,Algeria,Muslim,Amir,Male
Nepal,1,True,East Asia,China,Non-religious,Mei,Female,Nepal,Hindu,Rajesh,Male,Cuba,Christian,Carlos,Male,Algeria,Muslim,Amir,Male
Algeria,3,True,East Asia,Cuba,Christian,Carlos,Male,Algeria,Muslim,Amir,Male,China,Non-religious,Mei,Female,Thailand,Budhist,Sak,Male
Algeria,3,True,East Asia,Algeria,Muslim,Tariq,Male,Cuba,Christian,Elena,Female,China,Non-religious,Wei,Male,Vietnam,Budhist,Minh,Female
Egypt,4,True,East Asia,Cuba,Christian,Rosa,Female,Egypt,Muslim,Karim,Male,India,Hindu,Priya,Female,China,Non-religious,Wei,Male
Nepal,3,True,North Africa,Nepal,Hindu,Arun,Male,Cuba,Christian,Elena,Female,Egypt,Muslim,Malik,Male,China,Non-religious,Wei,Female
Cuba,1,True,East Asia,China,Non-religious,Mei,Female,Thailand,Budhist,Sak,Male,Cuba,Christian,Carlos,Male,Egypt,Muslim,Amir,Male
Cuba,4,True,North Africa,China,Non-religious,Li,Male,Cuba,Christian,Maria,Female,Vietnam,Budhist,Tran,Male,Egypt,Muslim,Karim,Male
India,4,True,East Asia,India,Hindu,Rajesh,Male,Sudan,Muslim,Omar,Male,Cuba,Christian,Elena,Female,China,Non-religious,Wei,Female
China,2,False,East Asia,Cuba,Christian,Alejandro,Male,China,Non-religious,Wei,Female,Nepal,Hindu,Rajesh,Male,Sudan,Muslim,Omar,Male
Thailand,3,True,Caribbean,China,Non-religious,Wei,Male,Thailand,Budhist,Somchai,Male,Cuba,Christian,Maria,Female,Sudan,Muslim,Ahmed,Male
Cuba,2,False,Caribbean,China,Non-religious,Li,Male,Cuba,Christian,Carlos,Male,Vietnam,Budhist,Minh,Female,Sudan,Muslim,Amir,Male
